#ndep: 2897
#depth (km)    Vs_arithmetic (km/s)    Vs_geometric (km/s)
   297.0           4.6502E+00              4.6500E+00
   298.0           4.6521E+00              4.6519E+00
   299.0           4.6541E+00              4.6538E+00
   300.0           4.6560E+00              4.6558E+00
   301.0           4.6579E+00              4.6577E+00
   302.0           4.6599E+00              4.6596E+00
   303.0           4.6618E+00              4.6616E+00
   304.0           4.6637E+00              4.6635E+00
   305.0           4.6657E+00              4.6655E+00
   306.0           4.6676E+00              4.6674E+00
   307.0           4.6696E+00              4.6694E+00
   308.0           4.6715E+00              4.6713E+00
   309.0           4.6734E+00              4.6732E+00
   310.0           4.6754E+00              4.6752E+00
   311.0           4.6773E+00              4.6771E+00
   312.0           4.6792E+00              4.6791E+00
   313.0           4.6812E+00              4.6810E+00
   314.0           4.6831E+00              4.6829E+00
   315.0           4.6850E+00              4.6848E+00
   316.0           4.6870E+00              4.6868E+00
   317.0           4.6889E+00              4.6887E+00
   318.0           4.6908E+00              4.6906E+00
   319.0           4.6927E+00              4.6925E+00
   320.0           4.6946E+00              4.6944E+00
   321.0           4.6965E+00              4.6963E+00
   322.0           4.6984E+00              4.6982E+00
   323.0           4.7003E+00              4.7001E+00
   324.0           4.7022E+00              4.7020E+00
   325.0           4.7041E+00              4.7039E+00
   326.0           4.7059E+00              4.7058E+00
   327.0           4.7078E+00              4.7076E+00
   328.0           4.7097E+00              4.7095E+00
   329.0           4.7115E+00              4.7113E+00
   330.0           4.7133E+00              4.7132E+00
   331.0           4.7152E+00              4.7150E+00
   332.0           4.7170E+00              4.7168E+00
   333.0           4.7188E+00              4.7186E+00
   334.0           4.7206E+00              4.7204E+00
   335.0           4.7224E+00              4.7222E+00
   336.0           4.7242E+00              4.7240E+00
   337.0           4.7259E+00              4.7257E+00
   338.0           4.7277E+00              4.7275E+00
   339.0           4.7294E+00              4.7292E+00
   340.0           4.7311E+00              4.7310E+00
   341.0           4.7329E+00              4.7327E+00
   342.0           4.7346E+00              4.7344E+00
   343.0           4.7362E+00              4.7361E+00
   344.0           4.7379E+00              4.7377E+00
   345.0           4.7396E+00              4.7394E+00
   346.0           4.7412E+00              4.7410E+00
   347.0           4.7428E+00              4.7427E+00
   348.0           4.7444E+00              4.7443E+00
   349.0           4.7460E+00              4.7459E+00
   350.0           4.7476E+00              4.7474E+00
   351.0           4.7492E+00              4.7490E+00
   352.0           4.7507E+00              4.7505E+00
   353.0           4.7522E+00              4.7521E+00
   354.0           4.7537E+00              4.7536E+00
   355.0           4.7552E+00              4.7551E+00
   356.0           4.7567E+00              4.7565E+00
   357.0           4.7581E+00              4.7580E+00
   358.0           4.7596E+00              4.7594E+00
   359.0           4.7610E+00              4.7608E+00
   360.0           4.7624E+00              4.7622E+00
   361.0           4.7637E+00              4.7636E+00
   362.0           4.7651E+00              4.7649E+00
   363.0           4.7664E+00              4.7662E+00
   364.0           4.7677E+00              4.7675E+00
   365.0           4.7690E+00              4.7688E+00
   366.0           4.7702E+00              4.7701E+00
   367.0           4.7715E+00              4.7713E+00
   368.0           4.7727E+00              4.7725E+00
   369.0           4.7739E+00              4.7737E+00
   370.0           4.7750E+00              4.7749E+00
   371.0           4.7762E+00              4.7760E+00
   372.0           4.7773E+00              4.7771E+00
   373.0           4.7784E+00              4.7782E+00
   374.0           4.7794E+00              4.7793E+00
   375.0           4.7804E+00              4.7803E+00
   376.0           4.7815E+00              4.7813E+00
   377.0           4.7824E+00              4.7823E+00
   378.0           4.7834E+00              4.7832E+00
   379.0           4.7843E+00              4.7841E+00
   380.0           4.7852E+00              4.7850E+00
   381.0           4.7861E+00              4.7859E+00
   382.0           4.7869E+00              4.7867E+00
   383.0           4.7877E+00              4.7875E+00
   384.0           4.7885E+00              4.7883E+00
   385.0           4.7892E+00              4.7891E+00
   386.0           4.7899E+00              4.7898E+00
   387.0           4.7906E+00              4.7904E+00
   388.0           4.7912E+00              4.7911E+00
   389.0           4.7919E+00              4.7917E+00
   390.0           4.7925E+00              4.7923E+00
   391.0           4.7930E+00              4.7929E+00
   392.0           4.7935E+00              4.7934E+00
   393.0           4.7940E+00              4.7939E+00
   394.0           4.7945E+00              4.7943E+00
   395.0           4.7949E+00              4.7947E+00
   396.0           4.7953E+00              4.7951E+00
   397.0           4.7956E+00              4.7955E+00
   398.0           4.7959E+00              4.7958E+00
   399.0           4.7962E+00              4.7960E+00
   400.0           4.7964E+00              4.7963E+00
   401.0           4.7966E+00              4.7965E+00
   402.0           4.7968E+00              4.7967E+00
   403.0           4.7969E+00              4.7968E+00
   404.0           4.7970E+00              4.7969E+00
   405.0           4.7971E+00              4.7969E+00
   406.0           4.7971E+00              4.7969E+00
   407.0           4.7970E+00              4.7969E+00
   408.0           4.7970E+00              4.7968E+00
   409.0           4.7969E+00              4.7967E+00
   410.0           4.7967E+00              4.7966E+00
   411.0           4.9890E+00              4.9888E+00
   412.0           4.9918E+00              4.9916E+00
   413.0           4.9945E+00              4.9944E+00
   414.0           4.9973E+00              4.9971E+00
   415.0           5.0000E+00              4.9999E+00
   416.0           5.0027E+00              5.0026E+00
   417.0           5.0054E+00              5.0053E+00
   418.0           5.0081E+00              5.0079E+00
   419.0           5.0107E+00              5.0106E+00
   420.0           5.0134E+00              5.0132E+00
   421.0           5.0160E+00              5.0158E+00
   422.0           5.0186E+00              5.0184E+00
   423.0           5.0212E+00              5.0210E+00
   424.0           5.0237E+00              5.0236E+00
   425.0           5.0263E+00              5.0261E+00
   426.0           5.0288E+00              5.0286E+00
   427.0           5.0313E+00              5.0312E+00
   428.0           5.0338E+00              5.0337E+00
   429.0           5.0363E+00              5.0361E+00
   430.0           5.0387E+00              5.0386E+00
   431.0           5.0412E+00              5.0410E+00
   432.0           5.0436E+00              5.0435E+00
