#ndep: 2897
#depth (km)    Vp_arithmetic (km/s)    Vp_geometric (km/s)
   406.0           8.9271E+00              8.9270E+00
   407.0           8.9278E+00              8.9277E+00
   408.0           8.9285E+00              8.9284E+00
   409.0           8.9291E+00              8.9290E+00
   410.0           8.9297E+00              8.9296E+00
   411.0           9.1990E+00              9.1989E+00
   412.0           9.2040E+00              9.2039E+00
   413.0           9.2091E+00              9.2090E+00
   414.0           9.2140E+00              9.2139E+00
   415.0           9.2190E+00              9.2189E+00
   416.0           9.2239E+00              9.2239E+00
   417.0           9.2289E+00              9.2288E+00
   418.0           9.2338E+00              9.2337E+00
   419.0           9.2386E+00              9.2385E+00
   420.0           9.2435E+00              9.2434E+00
   421.0           9.2483E+00              9.2482E+00
   422.0           9.2531E+00              9.2530E+00
   423.0           9.2579E+00              9.2578E+00
   424.0           9.2627E+00              9.2626E+00
   425.0           9.2674E+00              9.2673E+00
   426.0           9.2721E+00              9.2720E+00
   427.0           9.2768E+00              9.2767E+00
   428.0           9.2815E+00              9.2814E+00
   429.0           9.2862E+00              9.2861E+00
   430.0           9.2908E+00              9.2907E+00
   431.0           9.2954E+00              9.2954E+00
   432.0           9.3000E+00              9.3000E+00
   433.0           9.3046E+00              9.3045E+00
   434.0           9.3092E+00              9.3091E+00
   435.0           9.3138E+00              9.3137E+00
   436.0           9.3183E+00              9.3182E+00
   437.0           9.3228E+00              9.3227E+00
   438.0           9.3273E+00              9.3272E+00
   439.0           9.3318E+00              9.3317E+00
   440.0           9.3363E+00              9.3362E+00
   441.0           9.3407E+00              9.3406E+00
   442.0           9.3452E+00              9.3451E+00
   443.0           9.3496E+00              9.3495E+00
   444.0           9.3540E+00              9.3539E+00
   445.0           9.3584E+00              9.3583E+00
   446.0           9.3628E+00              9.3627E+00
   447.0           9.3672E+00              9.3671E+00
   448.0           9.3715E+00              9.3714E+00
   449.0           9.3759E+00              9.3758E+00
   450.0           9.3802E+00              9.3801E+00
   451.0           9.3845E+00              9.3844E+00
   452.0           9.3888E+00              9.3888E+00
   453.0           9.3931E+00              9.3930E+00
   454.0           9.3974E+00              9.3973E+00
   455.0           9.4017E+00              9.4016E+00
   456.0           9.4060E+00              9.4059E+00
   457.0           9.4102E+00              9.4101E+00
   458.0           9.4145E+00              9.4144E+00
   459.0           9.4187E+00              9.4186E+00
   460.0           9.4229E+00              9.4228E+00
   461.0           9.4272E+00              9.4271E+00
   462.0           9.4314E+00              9.4313E+00
   463.0           9.4356E+00              9.4355E+00
   464.0           9.4398E+00              9.4397E+00
   465.0           9.4439E+00              9.4438E+00
   466.0           9.4481E+00              9.4480E+00
   467.0           9.4523E+00              9.4522E+00
   468.0           9.4565E+00              9.4564E+00
   469.0           9.4606E+00              9.4605E+00
   470.0           9.4648E+00              9.4647E+00
   471.0           9.4689E+00              9.4688E+00
   472.0           9.4731E+00              9.4730E+00
   473.0           9.4772E+00              9.4771E+00
   474.0           9.4813E+00              9.4812E+00
   475.0           9.4855E+00              9.4854E+00
   476.0           9.4896E+00              9.4895E+00
   477.0           9.4937E+00              9.4936E+00
   478.0           9.4978E+00              9.4977E+00
   479.0           9.5020E+00              9.5019E+00
   480.0           9.5061E+00              9.5060E+00
   481.0           9.5102E+00              9.5101E+00
   482.0           9.5143E+00              9.5142E+00
