#ndep: 2897
#depth (km)    Vs_arithmetic (km/s)    Vs_geometric (km/s)
   236.0           4.5407E+00              4.5402E+00
   237.0           4.5423E+00              4.5418E+00
   238.0           4.5439E+00              4.5434E+00
   239.0           4.5455E+00              4.5450E+00
   240.0           4.5471E+00              4.5466E+00
   241.0           4.5487E+00              4.5483E+00
   242.0           4.5504E+00              4.5499E+00
   243.0           4.5520E+00              4.5516E+00
   244.0           4.5537E+00              4.5532E+00
   245.0           4.5553E+00              4.5549E+00
   246.0           4.5570E+00              4.5566E+00
   247.0           4.5587E+00              4.5583E+00
   248.0           4.5604E+00              4.5600E+00
   249.0           4.5621E+00              4.5617E+00
   250.0           4.5638E+00              4.5634E+00
   251.0           4.5655E+00              4.5651E+00
   252.0           4.5672E+00              4.5668E+00
   253.0           4.5689E+00              4.5685E+00
   254.0           4.5707E+00              4.5703E+00
   255.0           4.5724E+00              4.5720E+00
   256.0           4.5742E+00              4.5738E+00
   257.0           4.5759E+00              4.5755E+00
   258.0           4.5777E+00              4.5773E+00
   259.0           4.5794E+00              4.5791E+00
   260.0           4.5812E+00              4.5809E+00
   261.0           4.5830E+00              4.5826E+00
   262.0           4.5848E+00              4.5844E+00
   263.0           4.5866E+00              4.5862E+00
   264.0           4.5884E+00              4.5880E+00
   265.0           4.5902E+00              4.5899E+00
   266.0           4.5920E+00              4.5917E+00
   267.0           4.5938E+00              4.5935E+00
   268.0           4.5956E+00              4.5953E+00
   269.0           4.5975E+00              4.5972E+00
   270.0           4.5993E+00              4.5990E+00
   271.0           4.6011E+00              4.6008E+00
   272.0           4.6030E+00              4.6027E+00
   273.0           4.6048E+00              4.6045E+00
   274.0           4.6067E+00              4.6064E+00
   275.0           4.6086E+00              4.6083E+00
   276.0           4.6104E+00              4.6101E+00
   277.0           4.6123E+00              4.6120E+00
   278.0           4.6142E+00              4.6139E+00
   279.0           4.6160E+00              4.6158E+00
   280.0           4.6179E+00              4.6177E+00
   281.0           4.6198E+00              4.6195E+00
   282.0           4.6217E+00              4.6214E+00
   283.0           4.6236E+00              4.6233E+00
   284.0           4.6255E+00              4.6252E+00
   285.0           4.6274E+00              4.6271E+00
   286.0           4.6293E+00              4.6291E+00
   287.0           4.6312E+00              4.6310E+00
   288.0           4.6331E+00              4.6329E+00
   289.0           4.6351E+00              4.6348E+00
   290.0           4.6370E+00              4.6367E+00
   291.0           4.6389E+00              4.6387E+00
   292.0           4.6408E+00              4.6406E+00
   293.0           4.6428E+00              4.6425E+00
   294.0           4.6447E+00              4.6445E+00
   295.0           4.6466E+00              4.6464E+00
   296.0           4.6486E+00              4.6483E+00
   297.0           4.6505E+00              4.6503E+00
   298.0           4.6525E+00              4.6522E+00
   299.0           4.6544E+00              4.6542E+00
   300.0           4.6563E+00              4.6561E+00
   301.0           4.6583E+00              4.6581E+00
   302.0           4.6602E+00              4.6600E+00
   303.0           4.6622E+00              4.6620E+00
   304.0           4.6641E+00              4.6639E+00
   305.0           4.6661E+00              4.6659E+00
   306.0           4.6680E+00              4.6678E+00
   307.0           4.6700E+00              4.6698E+00
   308.0           4.6720E+00              4.6717E+00
   309.0           4.6739E+00              4.6737E+00
   310.0           4.6759E+00              4.6757E+00
   311.0           4.6778E+00              4.6776E+00
   312.0           4.6798E+00              4.6796E+00
   313.0           4.6818E+00              4.6815E+00
   314.0           4.6837E+00              4.6835E+00
   315.0           4.6857E+00              4.6855E+00
   316.0           4.6876E+00              4.6874E+00
   317.0           4.6895E+00              4.6893E+00
   318.0           4.6914E+00              4.6912E+00
   319.0           4.6933E+00              4.6931E+00
   320.0           4.6952E+00              4.6950E+00
   321.0           4.6971E+00              4.6969E+00
   322.0           4.6990E+00              4.6988E+00
   323.0           4.7009E+00              4.7007E+00
   324.0           4.7028E+00              4.7026E+00
   325.0           4.7047E+00              4.7045E+00
   326.0           4.7066E+00              4.7064E+00
   327.0           4.7084E+00              4.7082E+00
   328.0           4.7103E+00              4.7101E+00
   329.0           4.7121E+00              4.7119E+00
   330.0           4.7140E+00              4.7138E+00
   331.0           4.7158E+00              4.7156E+00
   332.0           4.7176E+00              4.7174E+00
   333.0           4.7194E+00              4.7192E+00
   334.0           4.7212E+00              4.7210E+00
   335.0           4.7230E+00              4.7228E+00
   336.0           4.7247E+00              4.7245E+00
   337.0           4.7265E+00              4.7263E+00
   338.0           4.7282E+00              4.7280E+00
   339.0           4.7299E+00              4.7297E+00
   340.0           4.7316E+00              4.7315E+00
   341.0           4.7333E+00              4.7331E+00
   342.0           4.7350E+00              4.7348E+00
   343.0           4.7366E+00              4.7365E+00
   344.0           4.7383E+00              4.7381E+00
   345.0           4.7399E+00              4.7397E+00
   346.0           4.7415E+00              4.7413E+00
   347.0           4.7431E+00              4.7429E+00
   348.0           4.7447E+00              4.7445E+00
   349.0           4.7462E+00              4.7460E+00
   350.0           4.7477E+00              4.7476E+00
   351.0           4.7492E+00              4.7491E+00
   352.0           4.7507E+00              4.7506E+00
   353.0           4.7522E+00              4.7521E+00
   354.0           4.7537E+00              4.7535E+00
   355.0           4.7551E+00              4.7549E+00
   356.0           4.7565E+00              4.7564E+00
   357.0           4.7579E+00              4.7578E+00
   358.0           4.7593E+00              4.7591E+00
   359.0           4.7606E+00              4.7605E+00
   360.0           4.7620E+00              4.7618E+00
   361.0           4.7633E+00              4.7631E+00
   362.0           4.7646E+00              4.7644E+00
   363.0           4.7659E+00              4.7657E+00
   364.0           4.7671E+00              4.7670E+00
   365.0           4.7684E+00              4.7682E+00
   366.0           4.7696E+00              4.7694E+00
   367.0           4.7708E+00              4.7706E+00
   368.0           4.7719E+00              4.7718E+00
   369.0           4.7731E+00              4.7730E+00
   370.0           4.7742E+00              4.7741E+00
   371.0           4.7754E+00              4.7752E+00
   372.0           4.7765E+00              4.7763E+00
   373.0           4.7775E+00              4.7774E+00
   374.0           4.7786E+00              4.7785E+00
   375.0           4.7796E+00              4.7795E+00
   376.0           4.7807E+00              4.7805E+00
   377.0           4.7817E+00              4.7815E+00
   378.0           4.7827E+00              4.7825E+00
   379.0           4.7836E+00              4.7835E+00
   380.0           4.7846E+00              4.7844E+00
   381.0           4.7855E+00              4.7854E+00
   382.0           4.7864E+00              4.7863E+00
   383.0           4.7873E+00              4.7872E+00
   384.0           4.7882E+00              4.7881E+00
   385.0           4.7891E+00              4.7890E+00
   386.0           4.7900E+00              4.7898E+00
   387.0           4.7908E+00              4.7907E+00
   388.0           4.7916E+00              4.7915E+00
   389.0           4.7924E+00              4.7923E+00
   390.0           4.7932E+00              4.7931E+00
   391.0           4.7940E+00              4.7939E+00
   392.0           4.7948E+00              4.7947E+00
   393.0           4.7956E+00              4.7954E+00
   394.0           4.7963E+00              4.7962E+00
   395.0           4.7971E+00              4.7969E+00
   396.0           4.7978E+00              4.7977E+00
   397.0           4.7985E+00              4.7984E+00
   398.0           4.7993E+00              4.7991E+00
   399.0           4.8000E+00              4.7998E+00
   400.0           4.8007E+00              4.8005E+00
   401.0           4.8014E+00              4.8012E+00
   402.0           4.8021E+00              4.8019E+00
   403.0           4.8028E+00              4.8026E+00
   404.0           4.8034E+00              4.8033E+00
   405.0           4.8041E+00              4.8040E+00
   406.0           4.8048E+00              4.8046E+00
   407.0           4.8055E+00              4.8053E+00
   408.0           4.8061E+00              4.8060E+00
   409.0           4.8068E+00              4.8067E+00
   410.0           4.9923E+00              4.9921E+00
   411.0           4.9949E+00              4.9948E+00
   412.0           4.9975E+00              4.9973E+00
   413.0           5.0001E+00              4.9999E+00
   414.0           5.0026E+00              5.0025E+00
   415.0           5.0051E+00              5.0050E+00
   416.0           5.0076E+00              5.0075E+00
   417.0           5.0101E+00              5.0100E+00
   418.0           5.0126E+00              5.0125E+00
   419.0           5.0151E+00              5.0149E+00
   420.0           5.0176E+00              5.0174E+00
   421.0           5.0200E+00              5.0198E+00
   422.0           5.0224E+00              5.0223E+00
   423.0           5.0248E+00              5.0247E+00
   424.0           5.0272E+00              5.0271E+00
   425.0           5.0296E+00              5.0294E+00
   426.0           5.0320E+00              5.0318E+00
   427.0           5.0343E+00              5.0342E+00
   428.0           5.0367E+00              5.0365E+00
   429.0           5.0390E+00              5.0389E+00
   430.0           5.0413E+00              5.0412E+00
   431.0           5.0436E+00              5.0435E+00
   432.0           5.0459E+00              5.0458E+00
   433.0           5.0482E+00              5.0481E+00
   434.0           5.0505E+00              5.0503E+00
   435.0           5.0527E+00              5.0526E+00
   436.0           5.0550E+00              5.0548E+00
   437.0           5.0572E+00              5.0571E+00
   438.0           5.0595E+00              5.0593E+00
   439.0           5.0617E+00              5.0615E+00
   440.0           5.0639E+00              5.0637E+00
   441.0           5.0661E+00              5.0659E+00
   442.0           5.0683E+00              5.0681E+00
   443.0           5.0705E+00              5.0703E+00
   444.0           5.0726E+00              5.0725E+00
   445.0           5.0748E+00              5.0746E+00
   446.0           5.0769E+00              5.0768E+00
   447.0           5.0791E+00              5.0789E+00
   448.0           5.0812E+00              5.0810E+00
   449.0           5.0833E+00              5.0832E+00
   450.0           5.0855E+00              5.0853E+00
   451.0           5.0876E+00              5.0874E+00
   452.0           5.0897E+00              5.0895E+00
   453.0           5.0918E+00              5.0916E+00
   454.0           5.0939E+00              5.0937E+00
   455.0           5.0959E+00              5.0958E+00
   456.0           5.0980E+00              5.0979E+00
   457.0           5.1001E+00              5.0999E+00
   458.0           5.1022E+00              5.1020E+00
   459.0           5.1042E+00              5.1040E+00
   460.0           5.1063E+00              5.1061E+00
   461.0           5.1083E+00              5.1082E+00
   462.0           5.1104E+00              5.1102E+00
   463.0           5.1124E+00              5.1122E+00
   464.0           5.1144E+00              5.1143E+00
   465.0           5.1165E+00              5.1163E+00
   466.0           5.1185E+00              5.1183E+00
   467.0           5.1205E+00              5.1203E+00
   468.0           5.1225E+00              5.1224E+00
   469.0           5.1245E+00              5.1244E+00
   470.0           5.1266E+00              5.1264E+00
   471.0           5.1286E+00              5.1284E+00
   472.0           5.1306E+00              5.1304E+00
   473.0           5.1326E+00              5.1324E+00
   474.0           5.1346E+00              5.1344E+00
   475.0           5.1366E+00              5.1364E+00
   476.0           5.1386E+00              5.1384E+00
