#ndep: 2897
#depth (km)   Rho_arithmetic (g/cm^3)   Rho_geometric (g/cm^3)
   209.0           3.4294E+00              3.4294E+00
   210.0           3.4301E+00              3.4301E+00
   211.0           3.4309E+00              3.4309E+00
   212.0           3.4316E+00              3.4316E+00
   213.0           3.4324E+00              3.4324E+00
   214.0           3.4331E+00              3.4331E+00
   215.0           3.4338E+00              3.4338E+00
   216.0           3.4345E+00              3.4345E+00
   217.0           3.4352E+00              3.4352E+00
   218.0           3.4360E+00              3.4360E+00
   219.0           3.4367E+00              3.4367E+00
   220.0           3.4374E+00              3.4374E+00
   221.0           3.4381E+00              3.4381E+00
   222.0           3.4388E+00              3.4388E+00
   223.0           3.4395E+00              3.4395E+00
   224.0           3.4402E+00              3.4402E+00
   225.0           3.4409E+00              3.4409E+00
   226.0           3.4416E+00              3.4416E+00
   227.0           3.4423E+00              3.4423E+00
   228.0           3.4429E+00              3.4429E+00
   229.0           3.4436E+00              3.4436E+00
   230.0           3.4443E+00              3.4443E+00
   231.0           3.4450E+00              3.4450E+00
   232.0           3.4457E+00              3.4457E+00
   233.0           3.4463E+00              3.4463E+00
   234.0           3.4470E+00              3.4470E+00
   235.0           3.4477E+00              3.4477E+00
   236.0           3.4483E+00              3.4483E+00
   237.0           3.4490E+00              3.4490E+00
   238.0           3.4496E+00              3.4496E+00
   239.0           3.4503E+00              3.4503E+00
   240.0           3.4509E+00              3.4509E+00
   241.0           3.4516E+00              3.4516E+00
   242.0           3.4522E+00              3.4522E+00
   243.0           3.4529E+00              3.4529E+00
   244.0           3.4535E+00              3.4535E+00
   245.0           3.4542E+00              3.4542E+00
   246.0           3.4548E+00              3.4548E+00
   247.0           3.4555E+00              3.4555E+00
   248.0           3.4561E+00              3.4561E+00
   249.0           3.4567E+00              3.4567E+00
   250.0           3.4574E+00              3.4574E+00
   251.0           3.4580E+00              3.4580E+00
   252.0           3.4586E+00              3.4586E+00
   253.0           3.4593E+00              3.4593E+00
   254.0           3.4599E+00              3.4599E+00
   255.0           3.4605E+00              3.4605E+00
   256.0           3.4611E+00              3.4611E+00
   257.0           3.4617E+00              3.4617E+00
   258.0           3.4624E+00              3.4624E+00
   259.0           3.4630E+00              3.4630E+00
   260.0           3.4636E+00              3.4636E+00
   261.0           3.4642E+00              3.4642E+00
   262.0           3.4648E+00              3.4648E+00
   263.0           3.4655E+00              3.4655E+00
   264.0           3.4661E+00              3.4661E+00
   265.0           3.4667E+00              3.4667E+00
   266.0           3.4673E+00              3.4673E+00
   267.0           3.4679E+00              3.4679E+00
   268.0           3.4685E+00              3.4685E+00
   269.0           3.4691E+00              3.4691E+00
